timestamp,heart_rate,,,,,
2024-11-22T09:36:05,184,,,,,
2024-11-22T09:36:08,185,,,,,
2024-11-22T09:36:10,186,,,,,
2024-11-22T09:36:13,185,,,,,
2024-11-22T09:36:16,184,,,,,
2024-11-22T09:36:23,183,,,,,
2024-11-22T09:36:24,182,,,,,
2024-11-22T09:36:27,181,,,,,
2024-11-22T09:36:29,180,,,,,
2024-11-22T09:36:32,179,,,,,
2024-11-22T09:36:35,178,,,,,
2024-11-22T09:36:39,177,,,,,
2024-11-22T09:36:40,176,,,,,
2024-11-22T09:36:41,175,,,,,
2024-11-22T09:36:46,174,,,,,
2024-11-22T09:36:48,175,,,,,
2024-11-22T09:36:51,174,,,,,
2024-11-22T09:36:52,175,,,,,
2024-11-22T09:36:55,176,,,,,
2024-11-22T09:36:58,175,,,,,
2024-11-22T09:37:01,174,,,,,
2024-11-22T09:37:02,173,,,,,
2024-11-22T09:37:03,172,,,,,
2024-11-22T09:37:05,171,,,,,
2024-11-22T09:37:07,170,,,,,
2024-11-22T09:37:12,169,,,,,
2024-11-22T09:37:14,168,,,,,
2024-11-22T09:37:16,167,,,,,
2024-11-22T09:37:22,166,,,,,
2024-11-22T09:37:26,165,,,,,
2024-11-22T09:37:29,164,,,,,
2024-11-22T09:37:30,163,,,,,
2024-11-22T09:37:34,162,,,,,
2024-11-22T09:37:36,161,,,,,
2024-11-22T09:37:38,160,,,,,
2024-11-22T09:37:43,161,,,,,
2024-11-22T09:38:13,160,,,,,
2024-11-22T09:38:18,159,,,,,
2024-11-22T09:38:23,158,,,,,
2024-11-22T09:38:41,160,,,,,
2024-11-22T09:38:45,159,,,,,
2024-11-22T09:38:48,160,,,,,
2024-11-22T09:38:52,159,,,,,
2024-11-22T09:38:56,158,,,,,
2024-11-22T09:39:02,157,,,,,
2024-11-22T09:39:03,158,,,,,
2024-11-22T09:39:04,157,,,,,
2024-11-22T09:39:14,156,,,,,
2024-11-22T09:39:19,157,,,,,
2024-11-22T09:39:30,156,,,,,
2024-11-22T09:39:34,155,,,,,
2024-11-22T09:40:17,156,,,,,
2024-11-22T09:40:19,157,,,,,
2024-11-22T09:40:20,159,,,,,
2024-11-22T09:40:21,160,,,,,
2024-11-22T09:40:22,162,,,,,
2024-11-22T09:40:24,164,,,,,
2024-11-22T09:40:27,165,,,,,
2024-11-22T09:40:28,166,,,,,
2024-11-22T09:40:29,167,,,,,
2024-11-22T09:40:31,168,,,,,
2024-11-22T09:40:32,169,,,,,
2024-11-22T09:40:33,170,,,,,
2024-11-22T09:40:35,171,,,,,
2024-11-22T09:40:37,172,,,,,
2024-11-22T09:40:38,173,,,,,
2024-11-22T09:40:39,174,,,,,
2024-11-22T09:40:40,175,,,,,
2024-11-22T09:40:42,176,,,,,
2024-11-22T09:40:43,177,,,,,
2024-11-22T09:40:45,178,,,,,
2024-11-22T09:40:47,179,,,,,
2024-11-22T09:40:50,180,,,,,
2024-11-22T09:40:51,181,,,,,
2024-11-22T09:40:52,182,,,,,
2024-11-22T09:40:53,183,,,,,
2024-11-22T09:40:54,184,,,,,
2024-11-22T09:40:56,185,,,,,
2024-11-22T09:41:21,184,,,,,
2024-11-22T09:41:24,183,,,,,
2024-11-22T09:41:27,182,,,,,
2024-11-22T09:41:28,181,,,,,
2024-11-22T09:41:33,180,,,,,
2024-11-22T09:41:39,179,,,,,
2024-11-22T09:41:41,178,,,,,
2024-11-22T09:41:43,177,,,,,
2024-11-22T09:41:47,176,,,,,
2024-11-22T09:41:50,175,,,,,
2024-11-22T09:41:57,174,,,,,
2024-11-22T09:42:03,173,,,,,
2024-11-22T09:42:05,174,,,,,
2024-11-22T09:42:08,173,,,,,
2024-11-22T09:42:17,172,,,,,
2024-11-22T09:42:18,171,,,,,
2024-11-22T09:42:19,170,,,,,
2024-11-22T09:42:20,171,,,,,
2024-11-22T09:42:22,170,,,,,
2024-11-22T09:42:24,169,,,,,
2024-11-22T09:42:26,170,,,,,
2024-11-22T09:42:29,169,,,,,
2024-11-22T09:42:34,168,,,,,
2024-11-22T09:42:38,169,,,,,
2024-11-22T09:42:44,168,,,,,
2024-11-22T09:42:48,165,,,,,
2024-11-22T09:42:49,164,,,,,
2024-11-22T09:42:51,165,,,,,
2024-11-22T09:42:52,167,,,,,
2024-11-22T09:42:55,166,,,,,
2024-11-22T09:43:00,167,,,,,
2024-11-22T09:43:03,168,,,,,
2024-11-22T09:43:04,167,,,,,
2024-11-22T09:43:05,166,,,,,
2024-11-22T09:43:07,165,,,,,
2024-11-22T09:43:08,164,,,,,
2024-11-22T09:43:10,165,,,,,
2024-11-22T09:43:20,164,,,,,
2024-11-22T09:43:22,163,,,,,
2024-11-22T09:43:23,162,,,,,
2024-11-22T09:43:30,161,,,,,
2024-11-22T09:43:33,162,,,,,
2024-11-22T09:43:39,161,,,,,
2024-11-22T09:43:59,160,,,,,
2024-11-22T09:44:05,159,,,,,
2024-11-22T09:44:07,160,,,,,
2024-11-22T09:44:16,161,,,,,
2024-11-22T09:44:17,162,,,,,
2024-11-22T09:44:18,163,,,,,
2024-11-22T09:44:19,164,,,,,
2024-11-22T09:44:21,165,,,,,
2024-11-22T09:44:23,164,,,,,
2024-11-22T09:44:31,165,,,,,
2024-11-22T09:44:33,166,,,,,
2024-11-22T09:44:35,165,,,,,
2024-11-22T09:44:39,164,,,,,
2024-11-22T09:44:50,165,,,,,
2024-11-22T09:44:54,164,,,,,
2024-11-22T09:45:05,163,,,,,
2024-11-22T09:45:08,164,,,,,
2024-11-22T09:45:13,165,,,,,
2024-11-22T09:45:15,166,,,,,
2024-11-22T09:45:19,167,,,,,
2024-11-22T09:45:22,168,,,,,
2024-11-22T09:45:24,169,,,,,
2024-11-22T09:45:27,170,,,,,
2024-11-22T09:45:30,171,,,,,
2024-11-22T09:45:32,172,,,,,
2024-11-22T09:45:35,173,,,,,
2024-11-22T09:45:37,174,,,,,
2024-11-22T09:45:40,176,,,,,
2024-11-22T09:45:44,177,,,,,
2024-11-22T09:45:46,178,,,,,
2024-11-22T09:45:47,177,,,,,
2024-11-22T09:45:48,178,,,,,
2024-11-22T09:45:51,179,,,,,
2024-11-22T09:45:53,180,,,,,
2024-11-22T09:45:54,181,,,,,
2024-11-22T09:45:57,182,,,,,
2024-11-22T09:45:58,181,,,,,
2024-11-22T09:46:03,182,,,,,
2024-11-22T09:46:08,183,,,,,
2024-11-22T09:46:12,182,,,,,
2024-11-22T09:46:20,183,,,,,
2024-11-22T09:46:24,182,,,,,
2024-11-22T09:46:31,181,,,,,
2024-11-22T09:46:38,180,,,,,
2024-11-22T09:46:40,179,,,,,
2024-11-22T09:46:52,178,,,,,
2024-11-22T09:46:56,177,,,,,
2024-11-22T09:47:02,176,,,,,
2024-11-22T09:47:13,175,,,,,
2024-11-22T09:47:17,174,,,,,
2024-11-22T09:47:19,173,,,,,
2024-11-22T09:47:20,172,,,,,
2024-11-22T09:47:21,171,,,,,
